trial,day,infections
1,1,1
1,2,2
1,3,2
1,4,3
1,5,3
1,6,5
1,7,7
1,8,15
1,9,22
1,10,26
1,11,43
1,12,65
1,13,103
1,14,156
1,15,192
1,16,235
1,17,255
1,18,272
1,19,305
1,20,307
1,21,326
1,22,332
1,23,329
1,24,336
1,25,351
1,26,365
1,27,361
1,28,345
1,29,344
1,30,340
1,31,347
1,32,347
1,33,347
1,34,358
1,35,355
1,36,366
1,37,361
1,38,359
1,39,340
1,40,345
1,41,346
1,42,356
1,43,363
1,44,362
1,45,361
1,46,354
1,47,358
1,48,337
1,49,344
1,50,353
1,51,357
1,52,350
1,53,352
1,54,364
1,55,360
1,56,355
1,57,358
1,58,363
1,59,360
1,60,356
1,61,339
1,62,336
1,63,350
1,64,368
1,65,367
1,66,364
1,67,345
1,68,352
1,69,350
1,70,357
1,71,355
1,72,360
1,73,368
1,74,371
1,75,373
1,76,373
1,77,366
1,78,351
1,79,358
1,80,362
1,81,346
1,82,351
1,83,357
1,84,358
1,85,354
1,86,351
1,87,358
1,88,368
1,89,354
1,90,355
1,91,364
1,92,365
1,93,366
1,94,365
1,95,359
1,96,370
1,97,379
1,98,372
1,99,363
1,100,372
1,101,361
1,102,354
1,103,378
1,104,355
1,105,357
1,106,350
1,107,358
1,108,350
1,109,339
1,110,349
1,111,346
1,112,351
1,113,370
1,114,378
1,115,362
1,116,368
1,117,367
1,118,352
1,119,365
1,120,361
1,121,356
1,122,371
1,123,379
1,124,371
1,125,353
1,126,363
1,127,363
1,128,365
1,129,360
1,130,355
1,131,362
1,132,359
1,133,370
1,134,366
1,135,360
1,136,361
1,137,352
1,138,347
1,139,356
1,140,357
1,141,364
1,142,351
1,143,344
1,144,354
1,145,351
1,146,366
1,147,356
1,148,360
1,149,360
1,150,372
1,151,364
1,152,341
1,153,350
1,154,346
1,155,353
1,156,369
1,157,369
1,158,380
1,159,374
1,160,373
1,161,367
1,162,357
1,163,352
1,164,369
1,165,361
1,166,361
1,167,359
1,168,371
1,169,365
1,170,366
1,171,350
1,172,353
1,173,360
1,174,352
1,175,354
1,176,363
1,177,360
1,178,358
1,179,352
1,180,366
1,181,349
1,182,350
1,183,344
1,184,353
1,185,364
1,186,367
1,187,364
1,188,364
1,189,358
1,190,372
1,191,373
1,192,352
1,193,364
1,194,382
1,195,374
1,196,369
1,197,356
1,198,354
1,199,367
1,200,358
2,1,3
2,2,3
2,3,2
2,4,4
2,5,7
2,6,12
2,7,18
2,8,28
2,9,41
2,10,63
2,11,93
2,12,133
2,13,169
2,14,221
2,15,274
2,16,300
2,17,312
2,18,330
2,19,335
2,20,343
2,21,355
2,22,346
2,23,352
2,24,368
2,25,372
2,26,359
2,27,362
2,28,354
2,29,361
2,30,369
2,31,363
2,32,369
2,33,376
2,34,379
2,35,348
2,36,353
2,37,358
2,38,348
2,39,361
2,40,361
2,41,361
2,42,363
2,43,352
2,44,349
2,45,353
2,46,352
2,47,354
2,48,348
2,49,356
2,50,361
2,51,368
2,52,368
2,53,366
2,54,361
2,55,362
2,56,356
2,57,354
2,58,365
2,59,371
2,60,372
2,61,364
2,62,374
2,63,366
2,64,366
2,65,366
2,66,374
2,67,359
2,68,388
2,69,381
2,70,379
2,71,364
2,72,355
2,73,362
2,74,366
2,75,364
2,76,371
2,77,345
2,78,347
2,79,354
2,80,364
2,81,361
2,82,373
2,83,355
2,84,350
2,85,365
2,86,350
2,87,346
2,88,363
2,89,360
2,90,354
2,91,348
2,92,346
2,93,348
2,94,361
2,95,345
2,96,359
2,97,345
2,98,355
2,99,365
2,100,380
2,101,352
2,102,364
2,103,360
2,104,364
2,105,354
2,106,358
2,107,354
2,108,360
2,109,347
2,110,359
2,111,374
2,112,376
2,113,352
2,114,366
2,115,360
2,116,334
2,117,335
2,118,335
2,119,339
2,120,342
2,121,342
2,122,350
2,123,353
2,124,369
2,125,371
2,126,365
2,127,368
2,128,356
2,129,370
2,130,361
2,131,372
2,132,354
2,133,376
2,134,361
2,135,365
2,136,356
2,137,364
2,138,337
2,139,336
2,140,332
2,141,325
2,142,339
2,143,353
2,144,361
2,145,358
2,146,370
2,147,347
2,148,343
2,149,362
2,150,353
2,151,347
2,152,364
2,153,371
2,154,358
2,155,364
2,156,365
2,157,358
2,158,371
2,159,362
2,160,371
2,161,368
2,162,352
2,163,360
2,164,364
2,165,363
2,166,353
2,167,356
2,168,358
2,169,368
2,170,371
2,171,369
2,172,373
2,173,370
2,174,361
2,175,368
2,176,371
2,177,369
2,178,368
2,179,363
2,180,364
2,181,362
2,182,365
2,183,359
2,184,349
2,185,344
2,186,331
2,187,349
2,188,347
2,189,356
2,190,355
2,191,361
2,192,381
2,193,371
2,194,360
2,195,353
2,196,345
2,197,353
2,198,355
2,199,361
2,200,361
3,1,1
3,2,3
3,3,7
3,4,12
3,5,18
3,6,26
3,7,41
3,8,68
3,9,99
3,10,136
3,11,169
3,12,210
3,13,249
3,14,270
3,15,287
3,16,303
3,17,315
3,18,329
3,19,329
3,20,335
3,21,339
3,22,372
3,23,381
3,24,360
3,25,369
3,26,374
3,27,376
3,28,366
3,29,364
3,30,365
3,31,339
3,32,348
3,33,349
3,34,369
3,35,367
3,36,369
3,37,363
3,38,367
3,39,357
3,40,348
3,41,348
3,42,343
3,43,348
3,44,338
3,45,349
3,46,340
3,47,367
3,48,343
3,49,372
3,50,365
3,51,360
3,52,364
3,53,369
3,54,367
3,55,359
3,56,375
3,57,362
3,58,344
3,59,353
3,60,337
3,61,333
3,62,352
3,63,348
3,64,352
3,65,354
3,66,345
3,67,362
3,68,351
3,69,360
3,70,345
3,71,354
3,72,345
3,73,360
3,74,370
3,75,357
3,76,353
3,77,350
3,78,348
3,79,340
3,80,336
3,81,363
3,82,372
3,83,362
3,84,376
3,85,370
3,86,358
3,87,360
3,88,374
3,89,367
3,90,372
3,91,367
3,92,371
3,93,368
3,94,361
3,95,366
3,96,363
3,97,356
3,98,368
3,99,356
3,100,364
3,101,369
3,102,371
3,103,372
3,104,369
3,105,366
3,106,364
3,107,349
3,108,350
3,109,350
3,110,354
3,111,333
3,112,337
3,113,357
3,114,366
3,115,358
3,116,363
3,117,367
3,118,351
3,119,378
3,120,375
3,121,378
3,122,361
3,123,368
3,124,357
3,125,353
3,126,366
3,127,369
3,128,353
3,129,344
3,130,362
3,131,364
3,132,381
3,133,367
3,134,362
3,135,355
3,136,354
3,137,348
3,138,342
3,139,345
3,140,347
3,141,340
3,142,334
3,143,347
3,144,342
3,145,343
3,146,330
3,147,336
3,148,349
3,149,363
3,150,356
3,151,361
3,152,365
3,153,348
3,154,354
3,155,348
3,156,367
3,157,357
3,158,353
3,159,370
3,160,361
3,161,353
3,162,348
3,163,342
3,164,352
3,165,354
3,166,365
3,167,366
3,168,368
3,169,363
3,170,355
3,171,350
3,172,341
3,173,350
3,174,337
3,175,360
3,176,352
3,177,349
3,178,320
3,179,346
3,180,348
3,181,346
3,182,351
3,183,351
3,184,343
3,185,341
3,186,349
3,187,354
3,188,349
3,189,357
3,190,366
3,191,363
3,192,363
3,193,345
3,194,354
3,195,341
3,196,347
3,197,357
3,198,356
3,199,342
3,200,350
