trial,day,infections
1,1,2
1,2,5
1,3,4
1,4,9
1,5,9
1,6,18
1,7,29
1,8,39
1,9,59
1,10,83
1,11,118
1,12,140
1,13,166
1,14,199
1,15,221
1,16,237
1,17,272
1,18,287
1,19,286
1,20,293
1,21,301
1,22,307
1,23,316
1,24,339
1,25,326
1,26,319
1,27,323
1,28,320
1,29,332
1,30,338
1,31,333
1,32,332
1,33,324
1,34,325
1,35,323
1,36,323
1,37,318
1,38,330
1,39,327
1,40,329
1,41,314
1,42,331
1,43,322
1,44,319
1,45,316
1,46,316
1,47,318
1,48,323
1,49,334
1,50,312
1,51,312
1,52,313
1,53,314
1,54,321
1,55,327
1,56,333
1,57,337
1,58,300
1,59,313
1,60,316
1,61,313
1,62,297
1,63,293
1,64,314
1,65,304
1,66,321
1,67,326
1,68,331
1,69,340
1,70,324
1,71,312
1,72,330
1,73,318
1,74,330
1,75,306
1,76,325
1,77,329
1,78,323
1,79,323
1,80,329
1,81,326
1,82,330
1,83,338
1,84,345
1,85,335
1,86,327
1,87,324
1,88,318
1,89,324
1,90,330
1,91,332
1,92,327
1,93,322
1,94,317
1,95,312
1,96,321
1,97,322
1,98,320
1,99,330
1,100,327
1,101,326
1,102,312
1,103,311
1,104,330
1,105,337
1,106,329
1,107,313
1,108,323
1,109,307
1,110,310
1,111,319
1,112,312
1,113,303
1,114,321
1,115,322
1,116,315
1,117,321
1,118,332
1,119,338
1,120,332
1,121,329
1,122,330
1,123,336
1,124,343
1,125,334
1,126,326
1,127,314
1,128,324
1,129,328
1,130,340
1,131,315
1,132,327
1,133,331
1,134,337
1,135,333
1,136,338
1,137,338
1,138,328
1,139,344
1,140,327
1,141,336
1,142,319
1,143,322
1,144,294
1,145,322
1,146,326
1,147,317
1,148,313
1,149,317
1,150,317
1,151,318
1,152,325
1,153,334
1,154,337
1,155,331
1,156,333
1,157,335
1,158,326
1,159,318
1,160,318
1,161,315
1,162,322
1,163,331
1,164,317
1,165,316
1,166,317
1,167,311
1,168,326
1,169,327
1,170,324
1,171,329
1,172,320
1,173,331
1,174,322
1,175,319
1,176,317
1,177,326
1,178,321
1,179,333
1,180,326
1,181,323
1,182,307
1,183,321
1,184,336
1,185,341
1,186,341
1,187,327
1,188,311
1,189,325
1,190,332
1,191,326
1,192,333
1,193,326
1,194,335
1,195,333
1,196,329
1,197,316
1,198,326
1,199,340
1,200,330
2,1,2
2,2,2
2,3,3
2,4,3
2,5,6
2,6,9
2,7,16
2,8,26
2,9,37
2,10,52
2,11,70
2,12,88
2,13,109
2,14,139
2,15,164
2,16,199
2,17,231
2,18,239
2,19,257
2,20,282
2,21,295
2,22,295
2,23,286
2,24,306
2,25,317
2,26,313
2,27,297
2,28,292
2,29,290
2,30,289
2,31,311
2,32,312
2,33,307
2,34,306
2,35,315
2,36,317
2,37,296
2,38,292
2,39,294
2,40,312
2,41,317
2,42,305
2,43,312
2,44,323
2,45,304
2,46,309
2,47,298
2,48,314
2,49,302
2,50,325
2,51,326
2,52,327
2,53,327
2,54,321
2,55,310
2,56,308
2,57,320
2,58,315
2,59,322
2,60,329
2,61,323
2,62,314
2,63,318
2,64,310
2,65,313
2,66,304
2,67,297
2,68,295
2,69,292
2,70,295
2,71,315
2,72,317
2,73,309
2,74,319
2,75,313
2,76,322
2,77,328
2,78,334
2,79,336
2,80,332
2,81,319
2,82,308
2,83,321
2,84,300
2,85,301
2,86,304
2,87,305
2,88,319
2,89,322
2,90,313
2,91,301
2,92,316
2,93,321
2,94,305
2,95,304
2,96,310
2,97,312
2,98,300
2,99,306
2,100,301
2,101,328
2,102,320
2,103,305
2,104,305
2,105,323
2,106,318
2,107,324
2,108,323
2,109,322
2,110,317
2,111,303
2,112,313
2,113,304
2,114,304
2,115,294
2,116,291
2,117,294
2,118,297
2,119,305
2,120,296
2,121,304
2,122,315
2,123,310
2,124,328
2,125,324
2,126,330
2,127,325
2,128,315
2,129,320
2,130,329
2,131,322
2,132,322
2,133,327
2,134,328
2,135,327
2,136,310
2,137,310
2,138,307
2,139,307
2,140,311
2,141,308
2,142,319
2,143,316
2,144,317
2,145,307
2,146,310
2,147,313
2,148,318
2,149,324
2,150,333
2,151,330
2,152,330
2,153,326
2,154,332
2,155,318
2,156,322
2,157,330
2,158,310
2,159,322
2,160,319
2,161,329
2,162,326
2,163,326
2,164,312
2,165,315
2,166,314
2,167,324
2,168,317
2,169,314
2,170,323
2,171,325
2,172,314
2,173,315
2,174,318
2,175,303
2,176,310
2,177,321
2,178,307
2,179,301
2,180,296
2,181,300
2,182,291
2,183,301
2,184,313
2,185,315
2,186,332
2,187,308
2,188,313
2,189,316
2,190,316
2,191,320
2,192,321
2,193,330
2,194,325
2,195,321
2,196,336
2,197,329
2,198,330
2,199,328
2,200,338
3,1,1
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
3,31,0
3,32,0
3,33,0
3,34,0
3,35,0
3,36,0
3,37,0
3,38,0
3,39,0
3,40,0
3,41,0
3,42,0
3,43,0
3,44,0
3,45,0
3,46,0
3,47,0
3,48,0
3,49,0
3,50,0
3,51,0
3,52,0
3,53,0
3,54,0
3,55,0
3,56,0
3,57,0
3,58,0
3,59,0
3,60,0
3,61,0
3,62,0
3,63,0
3,64,0
3,65,0
3,66,0
3,67,0
3,68,0
3,69,0
3,70,0
3,71,0
3,72,0
3,73,0
3,74,0
3,75,0
3,76,0
3,77,0
3,78,0
3,79,0
3,80,0
3,81,0
3,82,0
3,83,0
3,84,0
3,85,0
3,86,0
3,87,0
3,88,0
3,89,0
3,90,0
3,91,0
3,92,0
3,93,0
3,94,0
3,95,0
3,96,0
3,97,0
3,98,0
3,99,0
3,100,0
3,101,0
3,102,0
3,103,0
3,104,0
3,105,0
3,106,0
3,107,0
3,108,0
3,109,0
3,110,0
3,111,0
3,112,0
3,113,0
3,114,0
3,115,0
3,116,0
3,117,0
3,118,0
3,119,0
3,120,0
3,121,0
3,122,0
3,123,0
3,124,0
3,125,0
3,126,0
3,127,0
3,128,0
3,129,0
3,130,0
3,131,0
3,132,0
3,133,0
3,134,0
3,135,0
3,136,0
3,137,0
3,138,0
3,139,0
3,140,0
3,141,0
3,142,0
3,143,0
3,144,0
3,145,0
3,146,0
3,147,0
3,148,0
3,149,0
3,150,0
3,151,0
3,152,0
3,153,0
3,154,0
3,155,0
3,156,0
3,157,0
3,158,0
3,159,0
3,160,0
3,161,0
3,162,0
3,163,0
3,164,0
3,165,0
3,166,0
3,167,0
3,168,0
3,169,0
3,170,0
3,171,0
3,172,0
3,173,0
3,174,0
3,175,0
3,176,0
3,177,0
3,178,0
3,179,0
3,180,0
3,181,0
3,182,0
3,183,0
3,184,0
3,185,0
3,186,0
3,187,0
3,188,0
3,189,0
3,190,0
3,191,0
3,192,0
3,193,0
3,194,0
3,195,0
3,196,0
3,197,0
3,198,0
3,199,0
3,200,0
4,1,1
4,2,1
4,3,1
4,4,2
4,5,2
4,6,3
4,7,2
4,8,1
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0
4,31,0
4,32,0
4,33,0
4,34,0
4,35,0
4,36,0
4,37,0
4,38,0
4,39,0
4,40,0
4,41,0
4,42,0
4,43,0
4,44,0
4,45,0
4,46,0
4,47,0
4,48,0
4,49,0
4,50,0
4,51,0
4,52,0
4,53,0
4,54,0
4,55,0
4,56,0
4,57,0
4,58,0
4,59,0
4,60,0
4,61,0
4,62,0
4,63,0
4,64,0
4,65,0
4,66,0
4,67,0
4,68,0
4,69,0
4,70,0
4,71,0
4,72,0
4,73,0
4,74,0
4,75,0
4,76,0
4,77,0
4,78,0
4,79,0
4,80,0
4,81,0
4,82,0
4,83,0
4,84,0
4,85,0
4,86,0
4,87,0
4,88,0
4,89,0
4,90,0
4,91,0
4,92,0
4,93,0
4,94,0
4,95,0
4,96,0
4,97,0
4,98,0
4,99,0
4,100,0
4,101,0
4,102,0
4,103,0
4,104,0
4,105,0
4,106,0
4,107,0
4,108,0
4,109,0
4,110,0
4,111,0
4,112,0
4,113,0
4,114,0
4,115,0
4,116,0
4,117,0
4,118,0
4,119,0
4,120,0
4,121,0
4,122,0
4,123,0
4,124,0
4,125,0
4,126,0
4,127,0
4,128,0
4,129,0
4,130,0
4,131,0
4,132,0
4,133,0
4,134,0
4,135,0
4,136,0
4,137,0
4,138,0
4,139,0
4,140,0
4,141,0
4,142,0
4,143,0
4,144,0
4,145,0
4,146,0
4,147,0
4,148,0
4,149,0
4,150,0
4,151,0
4,152,0
4,153,0
4,154,0
4,155,0
4,156,0
4,157,0
4,158,0
4,159,0
4,160,0
4,161,0
4,162,0
4,163,0
4,164,0
4,165,0
4,166,0
4,167,0
4,168,0
4,169,0
4,170,0
4,171,0
4,172,0
4,173,0
4,174,0
4,175,0
4,176,0
4,177,0
4,178,0
4,179,0
4,180,0
4,181,0
4,182,0
4,183,0
4,184,0
4,185,0
4,186,0
4,187,0
4,188,0
4,189,0
4,190,0
4,191,0
4,192,0
4,193,0
4,194,0
4,195,0
4,196,0
4,197,0
4,198,0
4,199,0
4,200,0
5,1,1
5,2,2
5,3,2
5,4,2
5,5,3
5,6,5
5,7,7
5,8,8
5,9,10
5,10,10
5,11,11
5,12,13
5,13,16
5,14,21
5,15,26
5,16,32
5,17,44
5,18,54
5,19,72
5,20,89
5,21,109
5,22,136
5,23,170
5,24,194
5,25,232
5,26,251
5,27,259
5,28,276
5,29,288
5,30,295
5,31,290
5,32,294
5,33,283
5,34,294
5,35,296
5,36,314
5,37,302
5,38,294
5,39,292
5,40,303
5,41,291
5,42,302
5,43,307
5,44,301
5,45,300
5,46,313
5,47,302
5,48,295
5,49,294
5,50,315
5,51,308
5,52,322
5,53,303
5,54,315
5,55,310
