trial,day,infections
1,1,8
1,2,64
1,3,286
1,4,447
1,5,441
1,6,429
1,7,439
1,8,440
1,9,440
1,10,442
1,11,446
1,12,433
1,13,458
1,14,438
1,15,454
1,16,446
1,17,457
1,18,450
1,19,439
1,20,458
1,21,457
1,22,455
1,23,458
1,24,459
1,25,450
1,26,434
1,27,453
1,28,461
1,29,444
1,30,441
1,31,449
1,32,454
1,33,454
1,34,456
1,35,439
1,36,435
1,37,453
1,38,450
1,39,455
1,40,437
1,41,448
1,42,450
1,43,439
1,44,448
1,45,460
1,46,455
1,47,448
1,48,452
1,49,451
1,50,441
1,51,456
1,52,451
1,53,448
1,54,437
1,55,460
1,56,460
1,57,460
1,58,448
1,59,453
1,60,440
1,61,440
1,62,448
1,63,445
1,64,449
1,65,447
1,66,450
1,67,438
1,68,452
1,69,443
1,70,454
1,71,448
1,72,451
1,73,452
1,74,451
1,75,446
1,76,454
1,77,449
1,78,435
1,79,452
1,80,448
1,81,442
1,82,456
1,83,457
1,84,451
1,85,440
1,86,451
1,87,446
1,88,457
1,89,445
1,90,456
1,91,444
1,92,458
1,93,438
1,94,451
1,95,456
1,96,455
1,97,451
1,98,436
1,99,450
1,100,442
1,101,443
1,102,453
1,103,445
1,104,437
1,105,452
1,106,461
1,107,459
1,108,439
1,109,451
1,110,450
1,111,447
1,112,456
1,113,458
1,114,448
1,115,448
1,116,450
1,117,442
1,118,462
1,119,463
1,120,443
1,121,440
1,122,462
1,123,441
1,124,451
1,125,448
1,126,449
1,127,452
1,128,448
1,129,450
1,130,450
1,131,441
1,132,447
1,133,443
1,134,453
1,135,448
1,136,452
1,137,440
1,138,457
1,139,445
1,140,456
1,141,451
1,142,448
1,143,442
1,144,448
1,145,463
1,146,447
1,147,452
1,148,463
1,149,444
1,150,459
1,151,450
1,152,465
1,153,459
1,154,447
1,155,454
1,156,438
1,157,448
1,158,451
1,159,452
1,160,456
1,161,445
1,162,452
1,163,461
1,164,444
1,165,436
1,166,453
1,167,446
1,168,453
1,169,445
1,170,462
1,171,453
1,172,448
1,173,460
1,174,449
1,175,445
1,176,452
1,177,447
1,178,460
1,179,441
1,180,442
1,181,449
1,182,447
1,183,435
1,184,449
1,185,443
1,186,454
1,187,456
1,188,448
1,189,450
1,190,457
1,191,442
1,192,443
1,193,450
1,194,459
1,195,458
1,196,438
1,197,449
1,198,460
1,199,443
1,200,457
2,1,7
2,2,50
2,3,264
2,4,446
2,5,455
2,6,445
2,7,458
2,8,456
2,9,444
2,10,451
2,11,436
2,12,447
2,13,454
2,14,446
2,15,434
2,16,445
2,17,447
2,18,442
2,19,455
2,20,454
2,21,449
2,22,450
2,23,442
2,24,449
2,25,447
2,26,461
2,27,445
2,28,460
2,29,453
2,30,451
2,31,458
2,32,450
2,33,452
2,34,448
2,35,449
2,36,453
2,37,451
2,38,453
2,39,445
2,40,456
2,41,449
2,42,451
2,43,448
2,44,453
2,45,444
2,46,453
2,47,453
2,48,448
2,49,451
2,50,458
2,51,444
2,52,450
2,53,464
2,54,460
2,55,446
2,56,443
2,57,449
2,58,441
2,59,435
2,60,450
2,61,448
2,62,458
2,63,442
2,64,455
2,65,452
2,66,449
2,67,445
2,68,432
2,69,447
2,70,436
2,71,452
2,72,450
2,73,447
2,74,462
2,75,452
2,76,445
2,77,452
2,78,462
2,79,447
2,80,455
2,81,456
2,82,454
2,83,448
2,84,450
2,85,457
2,86,461
2,87,448
2,88,451
2,89,451
2,90,458
2,91,448
2,92,450
2,93,445
2,94,448
2,95,443
2,96,447
2,97,455
2,98,457
2,99,440
2,100,450
2,101,461
2,102,445
2,103,458
2,104,445
2,105,452
2,106,450
2,107,441
2,108,458
2,109,456
2,110,451
2,111,450
2,112,442
2,113,457
2,114,460
2,115,449
2,116,442
2,117,447
2,118,457
