trial,day,infections
1,1,2
1,2,6
1,3,18
1,4,65
1,5,183
1,6,355
1,7,409
1,8,413
1,9,419
1,10,420
1,11,426
1,12,416
1,13,416
1,14,421
1,15,431
1,16,419
1,17,418
1,18,420
1,19,425
1,20,414
1,21,420
1,22,427
1,23,396
1,24,410
1,25,409
1,26,423
1,27,409
1,28,423
1,29,416
1,30,432
1,31,416
1,32,426
1,33,414
1,34,423
1,35,431
1,36,437
1,37,409
1,38,433
1,39,432
1,40,424
1,41,417
1,42,411
1,43,402
1,44,414
1,45,423
1,46,410
1,47,424
1,48,419
1,49,424
1,50,420
1,51,418
1,52,411
1,53,411
1,54,409
1,55,419
1,56,406
1,57,425
1,58,425
1,59,417
1,60,416
1,61,427
1,62,404
1,63,411
1,64,414
1,65,433
1,66,427
1,67,419
1,68,426
1,69,420
1,70,426
1,71,424
1,72,412
1,73,420
1,74,417
1,75,417
1,76,424
1,77,424
1,78,424
1,79,428
1,80,409
1,81,427
1,82,422
1,83,416
1,84,409
1,85,420
1,86,431
1,87,414
1,88,414
1,89,427
1,90,416
1,91,411
1,92,414
1,93,406
1,94,415
1,95,421
1,96,418
1,97,422
1,98,425
1,99,406
1,100,412
1,101,406
1,102,413
1,103,427
1,104,421
1,105,431
1,106,412
1,107,431
1,108,413
1,109,414
1,110,421
1,111,411
1,112,428
1,113,410
1,114,399
1,115,412
1,116,420
1,117,416
1,118,422
1,119,415
1,120,423
1,121,426
1,122,424
1,123,428
1,124,415
1,125,418
1,126,419
1,127,427
1,128,426
1,129,422
1,130,411
1,131,427
1,132,429
1,133,416
1,134,412
1,135,402
1,136,413
1,137,426
1,138,420
1,139,409
1,140,414
1,141,412
1,142,420
1,143,423
1,144,405
1,145,415
1,146,419
1,147,419
1,148,426
1,149,423
1,150,420
1,151,410
1,152,419
1,153,413
1,154,413
1,155,409
1,156,416
1,157,414
1,158,412
1,159,410
1,160,398
1,161,413
1,162,412
1,163,424
1,164,427
1,165,410
1,166,420
1,167,426
1,168,436
1,169,412
1,170,411
1,171,427
1,172,413
1,173,422
1,174,418
1,175,429
1,176,428
1,177,424
1,178,430
1,179,428
1,180,426
1,181,423
1,182,407
1,183,421
1,184,425
1,185,413
1,186,424
1,187,411
1,188,421
1,189,430
1,190,428
1,191,432
1,192,427
1,193,420
1,194,415
1,195,433
1,196,418
1,197,415
1,198,421
1,199,422
1,200,413
2,1,3
2,2,13
2,3,53
2,4,172
2,5,346
2,6,414
2,7,418
2,8,416
2,9,431
2,10,424
2,11,410
2,12,418
2,13,420
2,14,414
2,15,427
2,16,426
2,17,435
2,18,413
2,19,413
2,20,406
2,21,430
2,22,412
2,23,431
2,24,428
2,25,407
2,26,403
2,27,415
2,28,415
2,29,409
2,30,418
2,31,441
