trial ,day ,infections
    1 ,  1 ,         4
    1 ,  2 ,        10
    1 ,  3 ,        31
    1 ,  4 ,        84
    1 ,  5 ,       177
    1 ,  6 ,       281
    1 ,  7 ,       321
    1 ,  8 ,       350
    1 ,  9 ,       360
    1 , 10 ,       365
    1 , 11 ,       365
    1 , 12 ,       351
    1 , 13 ,       371
    1 , 14 ,       375
    1 , 15 ,       362
    1 , 16 ,       356
    1 , 17 ,       361
    1 , 18 ,       375
    1 , 19 ,       374
    1 , 20 ,       359
    1 , 21 ,       359
    1 , 22 ,       354
    1 , 23 ,       371
    1 , 24 ,       365
    1 , 25 ,       366
    1 , 26 ,       368
    1 , 27 ,       365
    1 , 28 ,       358
    1 , 29 ,       359
    1 , 30 ,       353
    1 , 31 ,       376
    1 , 32 ,       382
    1 , 33 ,       371
    1 , 34 ,       366
    1 , 35 ,       357
    1 , 36 ,       369
    1 , 37 ,       353
    1 , 38 ,       349
    1 , 39 ,       363
    1 , 40 ,       351
    1 , 41 ,       340
    1 , 42 ,       351
    1 , 43 ,       378
    1 , 44 ,       369
    1 , 45 ,       375
    1 , 46 ,       364
    1 , 47 ,       356
    1 , 48 ,       355
    1 , 49 ,       356
    1 , 50 ,       360
    1 , 51 ,       354
    1 , 52 ,       338
    1 , 53 ,       363
    1 , 54 ,       378
    1 , 55 ,       368
    1 , 56 ,       349
    1 , 57 ,       361
    1 , 58 ,       355
    1 , 59 ,       358
    1 , 60 ,       372
    1 , 61 ,       355
    1 , 62 ,       363
    1 , 63 ,       358
    1 , 64 ,       348
    1 , 65 ,       369
    1 , 66 ,       366
    1 , 67 ,       338
    1 , 68 ,       357
    1 , 69 ,       361
    1 , 70 ,       358
    1 , 71 ,       351
    1 , 72 ,       345
    1 , 73 ,       354
    1 , 74 ,       349
    1 , 75 ,       345
    1 , 76 ,       362
    1 , 77 ,       352
    1 , 78 ,       350
    1 , 79 ,       358
    1 , 80 ,       353
    1 , 81 ,       357
    1 , 82 ,       358
    1 , 83 ,       366
    1 , 84 ,       369
    1 , 85 ,       367
    1 , 86 ,       349
    1 , 87 ,       349
    1 , 88 ,       373
    1 , 89 ,       362
    1 , 90 ,       373
    1 , 91 ,       354
    1 , 92 ,       370
    1 , 93 ,       363
    1 , 94 ,       354
    1 , 95 ,       364
    1 , 96 ,       388
    1 , 97 ,       364
    1 , 98 ,       366
    1 , 99 ,       369
    1 ,100 ,       346
    1 ,101 ,       361
    1 ,102 ,       372
    1 ,103 ,       369
    1 ,104 ,       349
    1 ,105 ,       363
    1 ,106 ,       365
    1 ,107 ,       373
    1 ,108 ,       381
    1 ,109 ,       347
    1 ,110 ,       357
