trial,day,infections
1,1,4
1,2,11
1,3,37
1,4,84
1,5,179
1,6,285
1,7,343
1,8,359
1,9,349
1,10,357
1,11,361
1,12,368
1,13,368
1,14,369
1,15,367
1,16,372
1,17,347
1,18,350
1,19,357
1,20,353
1,21,376
1,22,364
1,23,366
1,24,364
1,25,374
1,26,362
1,27,364
1,28,362
1,29,356
1,30,365
1,31,352
1,32,363
1,33,379
1,34,352
1,35,350
1,36,362
1,37,373
1,38,368
1,39,355
1,40,351
1,41,372
1,42,366
1,43,364
1,44,348
1,45,344
1,46,370
1,47,353
1,48,351
1,49,352
1,50,348
1,51,367
1,52,381
1,53,365
1,54,358
1,55,375
1,56,367
1,57,361
1,58,358
1,59,365
1,60,362
1,61,374
1,62,365
1,63,352
1,64,345
1,65,373
1,66,355
1,67,367
1,68,374
1,69,373
1,70,361
1,71,360
1,72,365
1,73,377
1,74,379
1,75,380
1,76,375
1,77,382
1,78,342
1,79,350
1,80,373
1,81,357
1,82,367
1,83,371
1,84,357
1,85,370
1,86,357
1,87,356
1,88,362
1,89,367
1,90,367
1,91,353
1,92,368
1,93,364
1,94,382
1,95,374
1,96,365
1,97,365
1,98,373
1,99,362
1,100,375
1,101,365
1,102,364
1,103,363
1,104,350
1,105,363
1,106,363
1,107,388
1,108,364
1,109,365
1,110,361
1,111,362
1,112,353
1,113,367
1,114,346
1,115,367
1,116,362
1,117,349
1,118,352
1,119,371
1,120,371
1,121,370
1,122,355
1,123,357
1,124,353
1,125,359
1,126,360
1,127,347
1,128,374
1,129,349
1,130,365
1,131,370
1,132,372
1,133,371
1,134,371
1,135,358
1,136,365
1,137,379
1,138,360
1,139,369
1,140,365
1,141,361
1,142,366
1,143,357
1,144,358
1,145,361
1,146,367
1,147,351
1,148,354
1,149,356
1,150,375
1,151,386
1,152,357
1,153,368
1,154,361
1,155,346
1,156,371
1,157,362
1,158,359
1,159,363
1,160,368
1,161,364
1,162,381
1,163,372
1,164,355
1,165,349
1,166,363
1,167,383
1,168,367
1,169,368
1,170,368
1,171,364
1,172,376
1,173,373
1,174,349
1,175,344
1,176,359
1,177,362
1,178,375
1,179,353
1,180,358
1,181,364
1,182,355
1,183,347
1,184,368
1,185,361
1,186,356
1,187,358
1,188,378
1,189,372
1,190,361
1,191,366
1,192,381
1,193,360
1,194,378
1,195,360
1,196,366
1,197,363
1,198,381
1,199,367
1,200,369
2,1,2
2,2,4
2,3,7
2,4,18
2,5,54
2,6,130
2,7,239
2,8,321
2,9,349
2,10,367
2,11,366
2,12,364
2,13,381
2,14,372
2,15,370
2,16,344
2,17,371
2,18,371
2,19,357
2,20,358
2,21,356
2,22,363
2,23,379
2,24,353
2,25,357
2,26,347
2,27,364
2,28,371
2,29,368
2,30,371
2,31,359
2,32,370
2,33,378
2,34,374
2,35,372
2,36,368
2,37,359
2,38,367
2,39,370
2,40,376
2,41,363
2,42,360
2,43,354
2,44,357
2,45,366
2,46,356
2,47,357
2,48,371
2,49,373
2,50,353
2,51,370
2,52,360
2,53,349
2,54,370
2,55,358
2,56,365
2,57,360
2,58,359
2,59,349
2,60,365
2,61,366
2,62,376
2,63,364
2,64,357
2,65,353
2,66,367
2,67,354
2,68,361
2,69,376
2,70,377
2,71,362
2,72,363
2,73,355
2,74,349
2,75,361
2,76,373
2,77,364
2,78,363
2,79,361
2,80,353
2,81,366
2,82,372
2,83,374
2,84,378
2,85,357
2,86,367
2,87,361
2,88,378
2,89,364
2,90,365
2,91,368
2,92,358
2,93,371
2,94,372
2,95,360
2,96,373
2,97,368
2,98,331
2,99,353
2,100,352
2,101,376
2,102,369
2,103,352
2,104,357
2,105,361
2,106,376
2,107,342
2,108,354
2,109,381
2,110,368
2,111,354
2,112,368
2,113,358
2,114,363
2,115,371
2,116,364
2,117,373
2,118,354
2,119,365
2,120,352
2,121,353
2,122,366
2,123,376
2,124,361
2,125,359
2,126,349
2,127,359
2,128,363
2,129,366
2,130,364
2,131,365
2,132,355
2,133,341
2,134,352
2,135,369
2,136,368
2,137,368
2,138,352
2,139,349
2,140,377
2,141,357
2,142,355
2,143,368
2,144,356
2,145,360
2,146,378
2,147,363
2,148,360
2,149,356
2,150,362
