trial,day,infections
1,1,5
1,2,27
1,3,116
1,4,331
1,5,400
1,6,409
1,7,402
1,8,402
1,9,409
1,10,398
1,11,404
1,12,398
1,13,396
1,14,413
1,15,392
1,16,407
1,17,409
1,18,396
1,19,403
1,20,403
1,21,399
1,22,403
1,23,395
1,24,408
1,25,395
1,26,398
1,27,405
1,28,403
1,29,415
1,30,411
1,31,399
1,32,409
1,33,407
1,34,404
1,35,390
1,36,391
1,37,404
1,38,415
1,39,404
1,40,395
1,41,404
1,42,402
1,43,394
1,44,398
1,45,395
1,46,408
1,47,408
1,48,409
1,49,400
1,50,407
1,51,401
1,52,405
1,53,412
1,54,403
1,55,402
1,56,410
1,57,392
1,58,410
1,59,407
1,60,398
1,61,413
1,62,404
1,63,396
1,64,400
1,65,389
1,66,400
1,67,407
1,68,398
1,69,400
1,70,412
1,71,394
1,72,397
1,73,389
1,74,396
1,75,401
1,76,406
1,77,404
1,78,397
1,79,401
1,80,409
1,81,407
1,82,417
1,83,403
1,84,396
1,85,397
1,86,407
1,87,409
1,88,399
1,89,404
1,90,395
1,91,400
1,92,417
1,93,422
1,94,410
1,95,394
1,96,400
1,97,406
1,98,403
1,99,394
1,100,408
1,101,400
1,102,414
1,103,398
1,104,393
1,105,401
1,106,393
1,107,398
1,108,400
1,109,399
1,110,413
1,111,387
1,112,396
1,113,401
1,114,413
1,115,419
1,116,395
1,117,402
1,118,397
1,119,387
1,120,414
1,121,393
1,122,386
1,123,398
1,124,395
1,125,406
1,126,401
1,127,399
1,128,407
1,129,423
1,130,410
1,131,406
1,132,411
1,133,410
1,134,412
1,135,404
1,136,395
1,137,410
1,138,409
1,139,418
1,140,393
1,141,393
1,142,399
1,143,400
1,144,405
1,145,419
1,146,395
1,147,399
1,148,412
1,149,407
1,150,395
1,151,409
1,152,395
1,153,405
1,154,409
1,155,395
1,156,401
1,157,401
1,158,392
1,159,403
1,160,407
1,161,399
1,162,399
1,163,409
1,164,400
1,165,397
1,166,407
1,167,394
1,168,405
1,169,407
1,170,409
1,171,410
1,172,402
1,173,410
1,174,389
1,175,397
1,176,398
1,177,400
1,178,405
1,179,416
1,180,397
1,181,394
1,182,397
1,183,396
1,184,404
1,185,400
1,186,403
1,187,404
1,188,399
1,189,408
1,190,411
1,191,406
1,192,404
1,193,400
1,194,398
1,195,409
1,196,403
1,197,403
1,198,402
1,199,401
1,200,401
2,1,10
2,2,42
2,3,179
2,4,360
2,5,402
2,6,407
2,7,405
2,8,404
2,9,407
2,10,397
2,11,405
2,12,393
2,13,391
2,14,409
2,15,403
2,16,396
2,17,403
2,18,415
2,19,414
2,20,397
2,21,406
2,22,410
2,23,391
2,24,403
2,25,413
2,26,396
2,27,388
2,28,401
2,29,407
2,30,392
2,31,400
2,32,401
2,33,401
2,34,409
2,35,402
2,36,405
2,37,404
2,38,403
2,39,408
2,40,409
2,41,406
2,42,396
2,43,392
2,44,396
2,45,403
2,46,405
2,47,408
2,48,393
2,49,395
2,50,407
2,51,407
2,52,402
2,53,387
2,54,398
2,55,398
2,56,421
2,57,403
2,58,395
2,59,393
2,60,403
2,61,411
2,62,406
2,63,396
2,64,392
2,65,404
2,66,411
2,67,403
2,68,405
2,69,401
2,70,404
2,71,397
2,72,403
2,73,405
2,74,415
2,75,408
2,76,418
2,77,391
2,78,403
2,79,409
2,80,401
2,81,398
2,82,408
2,83,407
2,84,407
2,85,396
2,86,417
2,87,422
2,88,396
2,89,405
2,90,408
2,91,389
2,92,394
2,93,415
2,94,409
2,95,406
2,96,399
2,97,403
2,98,402
2,99,392
2,100,405
2,101,389
2,102,403
2,103,403
2,104,414
2,105,417
2,106,398
2,107,403
2,108,391
2,109,400
2,110,403
2,111,405
2,112,409
2,113,396
2,114,392
2,115,408
2,116,399
2,117,403
2,118,409
2,119,416
2,120,406
2,121,404
2,122,395
2,123,409
2,124,398
2,125,417
2,126,401
2,127,387
2,128,394
2,129,405
2,130,398
2,131,408
2,132,390
2,133,389
2,134,393
2,135,402
2,136,396
2,137,411
2,138,407
2,139,415
2,140,398
2,141,408
2,142,401
2,143,388
2,144,401
2,145,419
2,146,407
2,147,401
2,148,403
2,149,407
2,150,416
2,151,403
2,152,406
2,153,423
2,154,393
2,155,397
2,156,396
2,157,394
2,158,416
2,159,397
2,160,408
2,161,401
2,162,404
2,163,400
2,164,400
2,165,411
2,166,394
2,167,391
2,168,411
2,169,390
2,170,401
2,171,409
2,172,411
2,173,400
2,174,400
2,175,415
2,176,407
2,177,408
2,178,412
2,179,407
2,180,404
2,181,408
2,182,404
2,183,410
2,184,407
2,185,407
2,186,410
2,187,401
2,188,402
2,189,393
2,190,403
2,191,411
2,192,393
2,193,402
2,194,404
2,195,421
2,196,406
2,197,389
2,198,407
2,199,401
2,200,410
3,1,6
3,2,33
3,3,135
3,4,344
3,5,411
3,6,410
3,7,392
3,8,408
3,9,407
3,10,397
3,11,405
3,12,406
3,13,388
3,14,393
3,15,386
3,16,413
3,17,400
3,18,408
3,19,411
3,20,402
3,21,402
3,22,411
3,23,397
3,24,403
3,25,390
3,26,399
3,27,411
3,28,405
3,29,413
3,30,408
3,31,403
3,32,384
3,33,408
3,34,389
3,35,395
3,36,406
3,37,402
3,38,396
3,39,390
3,40,413
3,41,401
