Connections,Count
0,17
1,41
2,70
3,100
4,89
5,73
6,57
7,30
8,15
9,4
10,1
11,1
12,2
0,6
1,42
2,68
3,108
4,109
5,72
6,40
7,40
8,10
9,2
10,1
12,1
13,1
0,10
1,32
2,73
3,108
4,97
5,85
6,44
7,22
8,13
9,12
10,3
11,1
0,7
1,28
2,68
3,103
4,108
5,77
6,51
7,33
8,10
9,9
10,2
11,2
12,1
15,1
0,8
1,35
2,83
3,97
4,111
5,61
6,55
7,32
8,9
9,6
10,2
11,1
0,5
1,38
2,71
3,117
4,89
5,72
6,47
7,31
8,16
9,8
10,1
11,3
12,1
13,1
0,11
1,31
2,66
3,98
4,103
5,83
6,51
7,33
8,13
9,8
10,3
0,10
1,32
2,83
3,88
4,104
5,81
6,52
7,25
8,16
9,7
10,2
0,14
1,41
2,63
3,94
4,91
5,92
6,49
7,29
8,15
9,8
10,4
0,9
1,34
2,64
3,116
4,83
5,78
6,51
7,31
8,20
9,10
10,2
11,2
0,2
1,32
2,66
3,98
4,93
5,90
6,54
7,41
8,15
9,6
10,3
0,5
1,32
2,87
3,95
4,101
5,82
6,49
7,27
8,15
9,6
10,1
0,4
1,37
2,65
3,103
4,100
5,87
6,36
7,38
8,16
9,9
10,4
11,1
0,10
1,44
2,65
3,103
4,84
5,71
6,54
7,38
8,16
9,9
10,3
11,3
0,6
1,46
2,75
3,78
4,88
5,89
6,65
7,28
8,13
9,10
10,2
0,9
1,32
2,62
3,103
4,87
5,74
6,64
7,37
8,19
9,9
10,2
11,2
0,11
1,16
2,84
3,92
4,112
5,83
6,42
7,36
8,16
9,4
10,2
11,1
12,1
0,10
1,29
2,65
3,100
4,93
5,73
6,69
7,38
8,14
9,5
10,2
11,2
0,11
1,28
2,80
3,112
4,96
5,68
6,43
7,39
8,17
9,4
10,1
11,1
0,10
1,39
2,64
3,104
4,107
5,73
6,46
7,25
8,17
9,10
10,2
11,1
12,2
0,14
1,41
2,63
3,93
4,104
5,81
6,55
7,22
8,15
9,7
10,4
12,1
0,12
1,34
2,67
3,87
4,100
5,76
6,62
7,37
8,15
9,8
10,1
11,1
0,9
1,35
2,85
3,92
4,104
5,81
6,45
7,22
8,16
9,9
10,2
0,13
1,35
2,71
3,103
4,98
5,73
6,48
7,29
8,18
9,5
